feature,importance
bin1,0.07381620450781852
bin2,0.46601590883524563
bin3,0.05563365498534213
bin4,0.010166491596418307
bin5,0.011685807957446866
bin6,0.012380495323596077
bin7,0.025016822673060983
bin8,0.021214405582084126
bin9,0.04439669712427512
bin10,0.035846768554907156
bin11,0.01989862720047827
bin12,0.02069021137812678
bin13,0.014103114356990656
bin14,0.016947898703233433
bin15,0.026330254300363475
bin16,0.013736514624184295
bin17,0.017083751769619758
bin18,0.017174972443235396
bin19,0.008842009404556487
bin20,0.0134757259404896
bin21,0.008723015224887724
bin22,0.006056558572591097
bin23,0.010086823827910086
bin24,0.008001534772032644
bin25,0.006313867286451935
bin26,0.005706586248467107
bin27,0.0071382752174482126
bin28,0.005897088321591348
bin29,0.008357618173015668
bin30,0.009262295094131104
