feature,importance
bin1,0.04846643400282732
bin2,0.03353776939211112
bin3,0.028451411620593527
bin4,0.031816520752936214
bin5,0.026752449999153508
bin6,0.34099106075902375
bin7,0.1243343586867833
bin8,0.03478323628026259
bin9,0.024475002024309155
bin10,0.015017649778490641
bin11,0.013206941548671292
bin12,0.011151125648773514
bin13,0.009123028621973547
bin14,0.00909129140641272
bin15,0.010192228976320777
bin16,0.012514910683227734
bin17,0.012551698378449572
bin18,0.012274236223666475
bin19,0.01566622027025807
bin20,0.02125337714548464
bin21,0.019369014085441807
bin22,0.01808215651092462
bin23,0.02266055504706707
bin24,0.027152606560341817
bin25,0.013179498297693198
bin26,0.01103331330794606
bin27,0.01420366763854097
bin28,0.012083265018145708
bin29,0.012736261389217018
bin30,0.013848709944952235
